"자신감, 시계, 기차"
"휴일, 자전거, 칼"
"동정심, 오두막, 물고기"
"실패, 하늘, 원숭이"
"믿음, 춤, 딸기"
"스릴, 그림, 밧줄"
"충성, 샌드위치, 랍스터"
"증오, 침대, 요람"
"기술, 꽃병, 검"
"재능, 안경, 여우"
"불안, 소, 파스타"
"사랑, 원숭이, 사자"
"불안, 다락방, 슬리퍼"
"춤, 양동이, 고양이"
"성공, 남자, 폭발"
"모험, 마을, 섬"
"연민, 꽃병, 나비"
"속임수, 책장, 등대"
"재능, 말, 사람"
"혼돈, 피아노, 맥주"
"편안함, 여자, 플루트"
"탐욕, 별, 거미"
"자부심, 성, 아파트"
"유령, 독수리, 벌레"
"친밀감, 바퀴벌레, 말"
"우정, 학교, 지하실"
"사랑, 고양이, 다리"
"인내, 오토바이, 축구"
"천국, 탁자, 연필"
"자유, 요람, 여왕"
"진실, 모자, 견과류"
"꿈, 커피, 묘지"
"성공, 나무, 마을"
"부러움, 커피, 목걸이"
"절망, 다리, 사자"
"용기, 기차, 전투"
"가십, 치즈, 마늘"
"희망, 개, 그림"
"지옥, 자전거, 요람"
"실패, 파이프, 샌드위치"
"전사, 벌레, 나방"
"열정, 숲, 여우"
"재미, 브로치, 원숭이"
"분노, 총, 자전거"
"유년기, 브로치, 오토바이"
"지혜, 숲, 파이프"
"기회, 로켓, 의자"
"진정, 오토바이, 쥐"
"천사, 나무, 칼"
"실망, 빗자루, 배"
"천국, 컴퓨터, 자전거"
"정의, 슬리퍼, 빗자루"
"행운, 매장, 구멍"
"진실, 곤돌라, 기차"
"혐오, 총, 하늘"
"정직, 검, 벽난로"
"두려움, 구멍, 바이올린"
"기쁨, 꽃병, 견과류"
"우정, 섬, 케이크"
"춤, 랍스터, 검"
"행운, 쥐, 파스타"
"정의, 사자, 피아노"
"평화, 성, 요트"
"패배, 찌개, 물"
"용기, 다락방, 거미"
"고통, 견과류, 찌개"
"자아, 연필, 말"
"열정, 전화, 바람"
"실패, 지구, 양"
"충성, 시계, 커피"
"애국심, 섬, 독수리"
"절망, 벌레, 맥주"
"희생, 꽃병, 벌레"
"분노, 성, 책장"
"범죄, 꽃병, 컴퓨터"
"전사, 연필, 동굴"
"악, 곤돌라, 인형"
"교육, 자동차, 수레"
"꿈, 도시, 피리"
"호기심, 케이크, 딸기"
"용서, 어선, 딸기"
"친밀감, 묘지, 바람"
"아름다움, 기차, 목걸이"
"클럽, 시계, 숲"
"인내, 시계, 아이스크림"
"자유, 브로치, 아파트"
"불안, 도시, 등대"
"유년기, 광대, 별"
"행운, 나방, 안경"
"동정, 물, 주사위"
"희망, 샌드위치, 폭발"
"자유, 운하, 목걸이"
"연민, 피아노, 커피"
"공포, 유령, 밧줄"
"가십, 여우, 커피"
"기회, 까마귀, 그림"
"침착, 호랑이, 어선"
"죽음, 신발, 아파트"
"친밀감, 책장, 탑"
"편안함, 바이올린, 나무"
