PRODUCT_NAME,Ground Truth,Answer
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",80232,80232
"Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch",220210,180631
Sugar Free Green Natural Stevia Jar(200 g),210690,170191
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",100620,100630
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,90230,90230
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",90122,210112
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",110422,100119
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",200410,200520
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",40900,40900
Figaro Olive Oil - 100ml Bottle,150910,150920
"Fresh Organic Ginger, 100g",91011,91011
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",200989,200990
"Catch Red Chilli Powder, 100g",90422,90422
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",230910,230910
"Fresh Baby Orange Nagpur, 1kg",80510,80510
"Britannia Milk Bikis Biscuits, 170.5g or 190.5g",190531,190531
"Veeba Garlic Mayonnaise, 250g",210390,210390
"Mother Dairy Pure Healthy Ghee, 1L",40590,40590
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g",180632,180631
